Ticker,Period,Capital Expenditures
GOOGL,2024 Q1,-12012.0
GOOGL,2024 Q2,-13186.0
GOOGL,2024 Q3,-13061.0
GOOGL,2024 Q4,-14276.0
GOOGL,2025 Q1,-17197.0
GOOGL,2025 Q2,-22446.0
GOOGL,2025 Q3,-23953.0
GOOGL,2025 Q4,-27851.0
