Ticker,Period,Capital Expenditures
META,2024 Q1,-6400.0
META,2024 Q2,-8173.0
META,2024 Q3,-8258.0
META,2024 Q4,-14425.0
META,2025 Q1,-12941.0
META,2025 Q2,-16538.0
META,2025 Q3,-18829.0
META,2025 Q4,-21383.0
