Ticker,Period,Capital Expenditures
AMZN,2024 Q1,-14925.0
AMZN,2024 Q2,-17620.0
AMZN,2024 Q3,-22620.0
AMZN,2024 Q4,-27834.0
AMZN,2025 Q1,-25019.0
AMZN,2025 Q2,-32183.0
AMZN,2025 Q3,-35095.0
AMZN,2025 Q4,-39522.0
