Ticker,Period,Capital Expenditures
MSFT,2024 Q1,-9917.0
MSFT,2024 Q2,-9735.0
MSFT,2024 Q3,-10952.0
MSFT,2024 Q4,-13873.0
MSFT,2025 Q1,-14923.0
MSFT,2025 Q2,-15804.0
MSFT,2025 Q3,-16745.0
MSFT,2025 Q4,-17079.0
MSFT,2026 Q1,-19394.0
MSFT,2026 Q2,-29876.0
