Ticker,Period,Capital Expenditures
NVDA,2024 Q1,-248.0
NVDA,2024 Q2,-289.0
NVDA,2024 Q3,-278.0
NVDA,2024 Q4,-254.0
NVDA,2025 Q1,-369.0
NVDA,2025 Q2,-977.0
NVDA,2025 Q3,-813.0
NVDA,2025 Q4,-1077.0
NVDA,2026 Q1,-1227.0
NVDA,2026 Q2,-1895.0
NVDA,2026 Q3,-1636.0
NVDA,2026 Q4,-1284.0
