Ticker,Period,Cost of Goods & Services
SSNLF,2023 Q1,46007093.0
SSNLF,2023 Q2,41647190.0
SSNLF,2023 Q3,46618726.0
SSNLF,2023 Q4,46115571.0
SSNLF,2024 Q1,45886332.0
SSNLF,2024 Q2,44312026.0
SSNLF,2024 Q3,49095083.0
SSNLF,2024 Q4,47268827.0
SSNLF,2025 Q1,51009931.0
SSNLF,2025 Q2,49069566.0
SSNLF,2025 Q3,52569620.0
SSNLF,2025 Q4,49586396.0
