day,month,year,daily_policy_index
10,9,2024,117.97
11,9,2024,38.01
12,9,2024,58.47
13,9,2024,92.86
14,9,2024,62.32
15,9,2024,76.57
16,9,2024,59.1
17,9,2024,110.52
18,9,2024,152.08
19,9,2024,126.07
20,9,2024,66.37
21,9,2024,77.27
22,9,2024,56.52
23,9,2024,73.57
24,9,2024,72.44
25,9,2024,103.88
26,9,2024,82.08
27,9,2024,90.48
28,9,2024,53.03
29,9,2024,31.33
30,9,2024,116.24
1,10,2024,58.83
2,10,2024,133.57
3,10,2024,76.65
4,10,2024,74.53
5,10,2024,93.95
6,10,2024,77.36
7,10,2024,48.33
8,10,2024,127.04
9,10,2024,71.55
10,10,2024,96.67
11,10,2024,247.06
12,10,2024,211.55
13,10,2024,154.13
14,10,2024,68.25
15,10,2024,140.41
16,10,2024,79.68
17,10,2024,114.8
18,10,2024,70.12
19,10,2024,89.05
20,10,2024,176.02
21,10,2024,283.8
22,10,2024,116.02
23,10,2024,98.6
24,10,2024,67.34
25,10,2024,83.65
26,10,2024,245.79
27,10,2024,187.75
28,10,2024,75.66
29,10,2024,88.98
30,10,2024,70.46
31,10,2024,107.64
1,11,2024,116.29
2,11,2024,384.15
3,11,2024,298.74
4,11,2024,231.81
5,11,2024,312.49
6,11,2024,142.57
7,11,2024,323.52
8,11,2024,308.41
9,11,2024,125.18
10,11,2024,484.55
11,11,2024,386.33
12,11,2024,225.35
13,11,2024,170.4
14,11,2024,135.73
15,11,2024,268.42
16,11,2024,154.6
17,11,2024,450.74
18,11,2024,463.22
19,11,2024,214.05
20,11,2024,181.81
21,11,2024,219.91
22,11,2024,135.37
23,11,2024,104.89
24,11,2024,311.54
25,11,2024,87.75
26,11,2024,150.15
27,11,2024,132.14
28,11,2024,162.72
29,11,2024,174.81
30,11,2024,123.13
1,12,2024,140.43
2,12,2024,78.68
3,12,2024,92.19
4,12,2024,177.91
5,12,2024,97.39
6,12,2024,390.69
7,12,2024,376.57
8,12,2024,114.97
9,12,2024,233.8
10,12,2024,218.39
11,12,2024,219.72
12,12,2024,125.44
13,12,2024,141.68
14,12,2024,167.31
15,12,2024,244.9
16,12,2024,288.93
17,12,2024,86.94
18,12,2024,251.99
19,12,2024,171.71
20,12,2024,180.8
21,12,2024,180.08
22,12,2024,381.65
23,12,2024,139.02
24,12,2024,252.18
25,12,2024,190.79
26,12,2024,118.16
27,12,2024,104.31
28,12,2024,150.11
29,12,2024,167.91
30,12,2024,138.37
31,12,2024,109.44
1,1,2025,202.92
2,1,2025,188.9
3,1,2025,167.41
4,1,2025,213.62
5,1,2025,571.19
6,1,2025,222.31
7,1,2025,260.94
8,1,2025,212.01
9,1,2025,230.71
10,1,2025,147.76
11,1,2025,403.4
12,1,2025,678.32
13,1,2025,179.6
14,1,2025,185.4
15,1,2025,110.72
16,1,2025,134.68
17,1,2025,173.63
18,1,2025,234.19
19,1,2025,508.27
20,1,2025,193.71
21,1,2025,225.37
22,1,2025,121.77
23,1,2025,176.52
24,1,2025,189.16
25,1,2025,159.12
26,1,2025,178.55
27,1,2025,159.42
28,1,2025,262.69
29,1,2025,342.27
30,1,2025,293.51
31,1,2025,495.78
1,2,2025,256.1
2,2,2025,314.4
3,2,2025,327.16
4,2,2025,393.35
5,2,2025,226.19
6,2,2025,372.45
7,2,2025,332.89
8,2,2025,578.84
9,2,2025,613.98
10,2,2025,290.34
11,2,2025,230.88
12,2,2025,285.28
13,2,2025,236.69
14,2,2025,297.91
15,2,2025,229.66
16,2,2025,294.91
17,2,2025,372.7
18,2,2025,280.36
19,2,2025,341.49
20,2,2025,367.92
21,2,2025,375.62
22,2,2025,203.15
23,2,2025,476.69
24,2,2025,355.9
25,2,2025,232.14
26,2,2025,275.17
27,2,2025,288.54
28,2,2025,345.22
1,3,2025,522.4
2,3,2025,476.54
3,3,2025,429.75
4,3,2025,447.53
5,3,2025,391.3
6,3,2025,726.26
7,3,2025,556.7
8,3,2025,684.13
9,3,2025,714.21
10,3,2025,403.78
11,3,2025,704.03
12,3,2025,433.5
13,3,2025,463.36
14,3,2025,442.46
15,3,2025,494.6
16,3,2025,731.78
17,3,2025,649.53
18,3,2025,614.24
19,3,2025,565.45
20,3,2025,458.66
21,3,2025,390.35
22,3,2025,488.06
23,3,2025,538.36
24,3,2025,498.84
25,3,2025,472.98
26,3,2025,316.49
27,3,2025,313.11
28,3,2025,362.44
29,3,2025,284.53
30,3,2025,612.15
31,3,2025,426.16
1,4,2025,642.48
2,4,2025,445.6
3,4,2025,438.93
4,4,2025,550.44
5,4,2025,975.6
6,4,2025,773.67
7,4,2025,574.97
8,4,2025,565.99
9,4,2025,590.08
10,4,2025,623.53
11,4,2025,833.81
12,4,2025,589.49
13,4,2025,910.15
14,4,2025,495.65
15,4,2025,371.94
16,4,2025,505.79
17,4,2025,508.01
18,4,2025,417.47
19,4,2025,431.85
20,4,2025,526.52
21,4,2025,407.95
22,4,2025,439.04
23,4,2025,337.82
24,4,2025,419.9
25,4,2025,515.91
26,4,2025,473.09
27,4,2025,664.45
28,4,2025,787.79
29,4,2025,575.26
30,4,2025,433.1
1,5,2025,890.82
2,5,2025,592.35
3,5,2025,706.16
4,5,2025,636.65
5,5,2025,346.64
6,5,2025,553.82
7,5,2025,428.17
8,5,2025,567.82
9,5,2025,535.71
10,5,2025,676.42
11,5,2025,777.17
12,5,2025,667.23
13,5,2025,512.95
14,5,2025,776.77
15,5,2025,469.0
16,5,2025,516.56
17,5,2025,581.6
18,5,2025,681.45
19,5,2025,390.58
20,5,2025,408.7
21,5,2025,319.48
22,5,2025,283.69
23,5,2025,328.74
24,5,2025,247.2
25,5,2025,353.81
26,5,2025,293.68
27,5,2025,409.58
28,5,2025,282.29
29,5,2025,340.04
30,5,2025,514.0
31,5,2025,389.5
1,6,2025,902.62
2,6,2025,445.03
3,6,2025,475.75
4,6,2025,420.42
5,6,2025,340.8
6,6,2025,351.94
7,6,2025,367.07
8,6,2025,620.59
9,6,2025,328.87
10,6,2025,273.63
11,6,2025,281.91
12,6,2025,484.65
13,6,2025,270.05
14,6,2025,346.92
15,6,2025,534.57
16,6,2025,340.61
17,6,2025,445.72
18,6,2025,477.28
19,6,2025,315.71
20,6,2025,326.33
21,6,2025,252.25
22,6,2025,463.29
23,6,2025,229.7
24,6,2025,326.19
25,6,2025,342.66
26,6,2025,239.86
27,6,2025,305.07
28,6,2025,385.22
29,6,2025,583.73
30,6,2025,511.44
1,7,2025,444.86
2,7,2025,376.21
3,7,2025,750.31
4,7,2025,631.92
5,7,2025,352.05
6,7,2025,489.75
7,7,2025,406.62
8,7,2025,226.19
9,7,2025,270.45
10,7,2025,539.55
11,7,2025,322.44
12,7,2025,356.31
13,7,2025,347.85
14,7,2025,379.41
15,7,2025,573.74
16,7,2025,468.19
17,7,2025,444.91
18,7,2025,428.28
19,7,2025,405.06
20,7,2025,513.08
21,7,2025,289.39
22,7,2025,220.87
23,7,2025,233.7
24,7,2025,301.78
25,7,2025,227.42
26,7,2025,175.31
27,7,2025,221.77
28,7,2025,282.48
29,7,2025,199.35
30,7,2025,274.14
31,7,2025,378.15
1,8,2025,563.27
2,8,2025,401.51
3,8,2025,660.0
4,8,2025,259.95
5,8,2025,251.56
6,8,2025,229.33
7,8,2025,280.6
8,8,2025,239.92
9,8,2025,190.2
10,8,2025,327.82
11,8,2025,309.88
12,8,2025,275.89
13,8,2025,241.27
14,8,2025,199.49
15,8,2025,323.06
16,8,2025,274.55
17,8,2025,242.09
18,8,2025,336.75
19,8,2025,216.13
20,8,2025,177.74
21,8,2025,158.27
22,8,2025,155.54
23,8,2025,224.66
24,8,2025,483.1
25,8,2025,467.56
26,8,2025,441.53
27,8,2025,269.38
28,8,2025,279.5
29,8,2025,250.15
30,8,2025,458.07
31,8,2025,326.52
1,9,2025,223.11
2,9,2025,488.48
3,9,2025,185.22
4,9,2025,388.69
5,9,2025,601.23
6,9,2025,309.36
7,9,2025,301.49
8,9,2025,319.23
9,9,2025,243.41
10,9,2025,280.99
11,9,2025,311.82
12,9,2025,268.43
13,9,2025,214.76
14,9,2025,629.68
15,9,2025,273.8
16,9,2025,243.91
17,9,2025,400.05
18,9,2025,284.37
19,9,2025,204.23
20,9,2025,187.61
21,9,2025,610.55
22,9,2025,548.21
23,9,2025,248.3
24,9,2025,356.04
25,9,2025,190.78
26,9,2025,409.49
27,9,2025,310.97
28,9,2025,534.23
29,9,2025,282.61
30,9,2025,406.64
1,10,2025,307.12
2,10,2025,438.91
3,10,2025,306.79
4,10,2025,359.09
5,10,2025,547.04
6,10,2025,326.43
