模型,总准确率,宏精确率,平衡准确率,宏F1,A召回率,B召回率,C召回率
最近质心,0.9534971170719478,0.9625750593492528,0.9563586234324591,0.9588974381483109,0.973124300111982,0.8959515701853954,1.0
高斯朴素贝叶斯,0.9917272499373276,0.9939527212754261,0.9916761256148315,0.9927341229986024,1.0,0.9750283768444948,1.0
正则化LDA,0.9506141890198044,0.9608839627930134,0.9532610738896734,0.9562571508110517,0.9748040313549832,0.884979190314037,1.0
正则化QDA,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PCA-QDA(12维),0.9580095261970418,0.9627545506188099,0.9639494028540249,0.9633199897744689,0.9470884658454647,0.9447597427166099,1.0
