检测位置,A均值,B均值,C均值,极差(类均值),ANOVA_F,eta2
134,7.090561932861513,6.204857756150234,3.848618412593197,3.2419435202683156,4731.80872473975,0.5426816361386474
138,7.040589601219021,6.222042333493519,3.8488765473247946,3.1917130538942264,4599.505944547377,0.5356355840731654
88,7.027501906248343,6.2340659390621145,3.830451700174353,3.19705020607399,4580.391531041952,0.5345996170057636
108,7.080326226856916,6.215676411487012,3.848788985460541,3.2315372413963748,4534.40775938223,0.5320883407110402
75,7.07776310831696,6.18069463052635,3.828232037906201,3.2495310704107587,4523.904071873998,0.5315109039204562
125,7.042171728206368,6.215336807394431,3.83503495461633,3.207136773590038,4517.315523665609,0.5311479727097749
78,7.034080245919275,6.217917547241099,3.8323476054752614,3.201732640444013,4516.786087367872,0.5311187842183523
62,7.049530563728356,6.226276105354412,3.8362199395601118,3.2133106241682445,4515.517888810076,0.531048852049632
139,7.029397127093399,6.1827947082798245,3.8417247565286288,3.1876723705647705,4511.47378073812,0.5308257087417804
89,7.003422534732977,6.226424804128834,3.831871572125976,3.1715509626070006,4467.35839458815,0.528377671877704
23,7.058246645776315,6.222662635369025,3.826801080387962,3.2314455653883525,4461.856905111303,0.5280705922615454
135,7.052803643988704,6.214874858130436,3.820174104403011,3.232629539585693,4460.782017490124,0.5280105479735588
19,7.043563927187281,6.23917610417814,3.824461814788339,3.2191021123989425,4456.179374516209,0.5277532668951598
95,7.034293250132328,6.217119639812985,3.837362558611903,3.196930691520425,4453.487921240691,0.5276026885471597
1,7.045723611835387,6.221949295007785,3.873256862217744,3.1724667496176435,4449.757336225922,0.5273938151821679
109,7.0401499516780275,6.203525770083707,3.8711506227548016,3.168999328923226,4447.22523830499,0.5272519391750439
107,7.039606527873199,6.233343303539957,3.850316187831165,3.1892903400420343,4447.223862793262,0.5272518620805816
10,7.025491991640733,6.212380357328525,3.829883523979574,3.1956084676611587,4443.933553747747,0.5270673753661299
145,7.024796174871205,6.234101312603931,3.8448180057752483,3.1799781690959565,4442.865975819267,0.5270074856254989
61,7.0278443937158945,6.246951251759461,3.834828128631863,3.1930162650840317,4435.7880750843215,0.5266100405855959
7,7.0615544760376885,6.228362722177781,3.857812210343438,3.2037422656942507,4429.146999570553,0.5262365167264997
63,7.036321053332193,6.227968139864457,3.874251464699537,3.1620695886326557,4415.865236499731,0.5254877197672629
112,7.056367588146045,6.201220864921034,3.853712384850207,3.2026552032958375,4413.999429065217,0.5253823399421853
5,7.049703000277975,6.220094726796244,3.835010983506263,3.214692016771712,4411.845319366405,0.5252606187286996
73,7.036339524064987,6.182674962485367,3.864690515707296,3.171649008357691,4410.69609090023,0.5251956543000217
122,7.060338447895578,6.215058868913619,3.8659719304945854,3.1943665174009928,4407.24560355855,0.5250004957494254
22,7.061697042382757,6.237191042944853,3.861048404716922,3.2006486376658354,4401.269555566822,0.5246621124126746
47,7.01201459294873,6.20363718458943,3.8526043507226193,3.1594102422261106,4400.708879718405,0.524630340376805
42,7.080351949892442,6.208886898603569,3.875215239961598,3.2051367099308443,4399.821106485336,0.5245800238986031
128,7.024437398274757,6.240790382631423,3.8403763240207947,3.1840610742539623,4399.647764673959,0.5245701981315922
