Ticker,Period,Inventories
HY9H.F,2023 Q1,17182269.0
HY9H.F,2023 Q2,16420200.0
HY9H.F,2023 Q3,14947895.0
HY9H.F,2023 Q4,13480659.0
HY9H.F,2024 Q1,13844639.0
HY9H.F,2024 Q2,13354938.0
HY9H.F,2024 Q3,13353865.0
HY9H.F,2024 Q4,13313937.0
HY9H.F,2025 Q1,14551350.0
HY9H.F,2025 Q2,13408333.0
HY9H.F,2025 Q3,13156389.0
HY9H.F,2025 Q4,14289390.0
