Ticker,Period,Cost of Goods & Services
HY9H.F,2023 Q1,6733410.0
HY9H.F,2023 Q2,8483761.0
HY9H.F,2023 Q3,9002045.0
HY9H.F,2023 Q4,9079952.0
HY9H.F,2024 Q1,7634953.0
HY9H.F,2024 Q2,8926794.0
HY9H.F,2024 Q3,8401685.0
HY9H.F,2024 Q4,9401382.0
HY9H.F,2025 Q1,7537150.0
HY9H.F,2025 Q2,10248628.0
HY9H.F,2025 Q3,10419829.0
HY9H.F,2025 Q4,10250278.0
