Ticker,Period,Inventories
Micron Technology,2023 Q1,8359.0
Micron Technology,2023 Q2,8129.0
Micron Technology,2023 Q3,8238.0
Micron Technology,2023 Q4,8387.0
Micron Technology,2024 Q1,8276.0
Micron Technology,2024 Q2,8443.0
Micron Technology,2024 Q3,8512.0
Micron Technology,2024 Q4,8875.0
Micron Technology,2025 Q1,8705.0
Micron Technology,2025 Q2,9007.0
Micron Technology,2025 Q3,8727.0
Micron Technology,2025 Q4,8355.0
Micron Technology,2026 Q1,8205.0
Micron Technology,2026 Q2,8267.0
