mult,price,total_cost
0.8,0.52,53230.581867242094
0.9,0.5850000000000001,53675.15723162325
1.0,0.65,54119.539753710356
1.1,0.7150000000000001,54563.922275797435
1.2,0.78,55015.29469989705
